  0%|                                                                                                                                                   | 0/83 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                               
{'loss': 9.1861, 'grad_norm': 114.1588134765625, 'learning_rate': 4.9397590361445786e-05, 'epoch': 0.01}
{'loss': 9.0195, 'grad_norm': 112.96815490722656, 'learning_rate': 4.879518072289157e-05, 'epoch': 0.02}
{'loss': 8.1293, 'grad_norm': 105.41287994384766, 'learning_rate': 4.8192771084337354e-05, 'epoch': 0.04}
{'loss': 6.3737, 'grad_norm': 73.42920684814453, 'learning_rate': 4.759036144578313e-05, 'epoch': 0.05}
{'loss': 5.7638, 'grad_norm': 61.531028747558594, 'learning_rate': 4.698795180722892e-05, 'epoch': 0.06}
{'loss': 4.534, 'grad_norm': 49.262840270996094, 'learning_rate': 4.63855421686747e-05, 'epoch': 0.07}
{'loss': 4.1894, 'grad_norm': 35.84201431274414, 'learning_rate': 4.578313253012048e-05, 'epoch': 0.08}
{'loss': 4.0432, 'grad_norm': 36.35310745239258, 'learning_rate': 4.5180722891566266e-05, 'epoch': 0.1}
{'loss': 3.6341, 'grad_norm': 38.490352630615234, 'learning_rate': 4.457831325301205e-05, 'epoch': 0.11}
{'loss': 3.4767, 'grad_norm': 38.65530014038086, 'learning_rate': 4.3975903614457834e-05, 'epoch': 0.12}
{'loss': 3.2357, 'grad_norm': 40.80805587768555, 'learning_rate': 4.337349397590362e-05, 'epoch': 0.13}
{'loss': 1.9753, 'grad_norm': 36.782840728759766, 'learning_rate': 4.27710843373494e-05, 'epoch': 0.14}
{'loss': 1.6116, 'grad_norm': 34.1005973815918, 'learning_rate': 4.2168674698795186e-05, 'epoch': 0.16}
{'loss': 1.378, 'grad_norm': 31.346158981323242, 'learning_rate': 4.156626506024097e-05, 'epoch': 0.17}
{'loss': 1.0765, 'grad_norm': 27.840469360351562, 'learning_rate': 4.0963855421686746e-05, 'epoch': 0.18}
{'loss': 0.8428, 'grad_norm': 24.760074615478516, 'learning_rate': 4.036144578313254e-05, 'epoch': 0.19}
{'loss': 0.6754, 'grad_norm': 20.136554718017578, 'learning_rate': 3.9759036144578314e-05, 'epoch': 0.2}
{'loss': 0.475, 'grad_norm': 15.571537971496582, 'learning_rate': 3.91566265060241e-05, 'epoch': 0.22}
{'loss': 0.4063, 'grad_norm': 12.947772026062012, 'learning_rate': 3.855421686746988e-05, 'epoch': 0.23}
{'loss': 0.3312, 'grad_norm': 10.112577438354492, 'learning_rate': 3.7951807228915666e-05, 'epoch': 0.24}
{'loss': 0.2604, 'grad_norm': 8.0863676071167, 'learning_rate': 3.734939759036144e-05, 'epoch': 0.25}
{'loss': 0.2158, 'grad_norm': 6.355546474456787, 'learning_rate': 3.674698795180723e-05, 'epoch': 0.26}
{'loss': 0.1682, 'grad_norm': 5.110186576843262, 'learning_rate': 3.614457831325301e-05, 'epoch': 0.28}
{'loss': 0.1125, 'grad_norm': 3.022477626800537, 'learning_rate': 3.5542168674698794e-05, 'epoch': 0.29}
