  0%|                                                                                                                                                   | 0/62 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                               
{'loss': 9.1869, 'grad_norm': 114.24483489990234, 'learning_rate': 4.9193548387096775e-05, 'epoch': 0.02}
{'loss': 9.0099, 'grad_norm': 113.2650146484375, 'learning_rate': 4.8387096774193554e-05, 'epoch': 0.03}
{'loss': 8.1291, 'grad_norm': 105.7631607055664, 'learning_rate': 4.7580645161290326e-05, 'epoch': 0.05}
{'loss': 6.3711, 'grad_norm': 73.61212158203125, 'learning_rate': 4.67741935483871e-05, 'epoch': 0.06}
{'loss': 5.7645, 'grad_norm': 61.69582748413086, 'learning_rate': 4.596774193548387e-05, 'epoch': 0.08}
{'loss': 5.6203, 'grad_norm': 60.63249969482422, 'learning_rate': 4.516129032258064e-05, 'epoch': 0.1}
{'loss': 4.2403, 'grad_norm': 35.289886474609375, 'learning_rate': 4.435483870967742e-05, 'epoch': 0.11}
{'loss': 4.1373, 'grad_norm': 35.30883026123047, 'learning_rate': 4.3548387096774194e-05, 'epoch': 0.13}
{'loss': 3.7712, 'grad_norm': 36.92848587036133, 'learning_rate': 4.2741935483870973e-05, 'epoch': 0.14}
{'loss': 3.6801, 'grad_norm': 36.73682403564453, 'learning_rate': 4.1935483870967746e-05, 'epoch': 0.16}
{'loss': 3.4293, 'grad_norm': 38.02324295043945, 'learning_rate': 4.112903225806452e-05, 'epoch': 0.18}
{'loss': 2.3343, 'grad_norm': 37.375038146972656, 'learning_rate': 4.032258064516129e-05, 'epoch': 0.19}
{'loss': 1.9378, 'grad_norm': 35.01878356933594, 'learning_rate': 3.951612903225806e-05, 'epoch': 0.21}
{'loss': 1.5887, 'grad_norm': 33.12080764770508, 'learning_rate': 3.870967741935484e-05, 'epoch': 0.22}
{'loss': 1.2894, 'grad_norm': 30.099563598632812, 'learning_rate': 3.7903225806451614e-05, 'epoch': 0.24}
{'loss': 1.0299, 'grad_norm': 27.3817081451416, 'learning_rate': 3.7096774193548386e-05, 'epoch': 0.26}
{'loss': 0.8512, 'grad_norm': 24.10614013671875, 'learning_rate': 3.6290322580645165e-05, 'epoch': 0.27}
{'loss': 0.6373, 'grad_norm': 19.681785583496094, 'learning_rate': 3.548387096774194e-05, 'epoch': 0.29}
{'loss': 0.5198, 'grad_norm': 16.161502838134766, 'learning_rate': 3.467741935483872e-05, 'epoch': 0.3}
{'loss': 0.4133, 'grad_norm': 12.893292427062988, 'learning_rate': 3.387096774193548e-05, 'epoch': 0.32}
{'loss': 0.361, 'grad_norm': 10.763559341430664, 'learning_rate': 3.306451612903226e-05, 'epoch': 0.34}
{'loss': 0.2678, 'grad_norm': 9.053889274597168, 'learning_rate': 3.2258064516129034e-05, 'epoch': 0.35}
{'loss': 0.2473, 'grad_norm': 7.739282131195068, 'learning_rate': 3.1451612903225806e-05, 'epoch': 0.37}
{'loss': 0.181, 'grad_norm': 5.820984363555908, 'learning_rate': 3.0645161290322585e-05, 'epoch': 0.38}
{'loss': 0.1429, 'grad_norm': 4.517604827880859, 'learning_rate': 2.9838709677419357e-05, 'epoch': 0.4}
{'loss': 0.1141, 'grad_norm': 3.4661777019500732, 'learning_rate': 2.9032258064516133e-05, 'epoch': 0.42}
{'loss': 0.1135, 'grad_norm': 2.434434413909912, 'learning_rate': 2.822580645161291e-05, 'epoch': 0.43}
{'loss': 0.0729, 'grad_norm': 2.002232074737549, 'learning_rate': 2.7419354838709678e-05, 'epoch': 0.45}
{'loss': 0.0676, 'grad_norm': 1.2990540266036987, 'learning_rate': 2.661290322580645e-05, 'epoch': 0.46}
{'loss': 0.0488, 'grad_norm': 0.9117273092269897, 'learning_rate': 2.5806451612903226e-05, 'epoch': 0.48}
{'loss': 0.0539, 'grad_norm': 0.8539638519287109, 'learning_rate': 2.5e-05, 'epoch': 0.5}
{'loss': 0.0657, 'grad_norm': 0.7840506434440613, 'learning_rate': 2.4193548387096777e-05, 'epoch': 0.51}
{'loss': 0.0283, 'grad_norm': 0.5418417453765869, 'learning_rate': 2.338709677419355e-05, 'epoch': 0.53}
{'loss': 0.0258, 'grad_norm': 0.3910989463329315, 'learning_rate': 2.258064516129032e-05, 'epoch': 0.54}
{'loss': 0.0398, 'grad_norm': 0.44912558794021606, 'learning_rate': 2.1774193548387097e-05, 'epoch': 0.56}
{'loss': 0.0228, 'grad_norm': 0.4061775207519531, 'learning_rate': 2.0967741935483873e-05, 'epoch': 0.58}
{'loss': 0.0217, 'grad_norm': 0.3745225965976715, 'learning_rate': 2.0161290322580645e-05, 'epoch': 0.59}
{'loss': 0.0192, 'grad_norm': 0.3114245533943176, 'learning_rate': 1.935483870967742e-05, 'epoch': 0.61}
{'loss': 0.0173, 'grad_norm': 0.3095141649246216, 'learning_rate': 1.8548387096774193e-05, 'epoch': 0.62}
{'loss': 0.0212, 'grad_norm': 0.38356587290763855, 'learning_rate': 1.774193548387097e-05, 'epoch': 0.64}
{'loss': 0.0144, 'grad_norm': 0.1512022763490677, 'learning_rate': 1.693548387096774e-05, 'epoch': 0.66}
