  0%|                                                                                                                                  | 0/124 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                               
{'loss': 9.1869, 'grad_norm': 114.24483489990234, 'learning_rate': 4.959677419354839e-05, 'epoch': 0.02}
{'loss': 9.0099, 'grad_norm': 113.2650146484375, 'learning_rate': 4.9193548387096775e-05, 'epoch': 0.03}
{'loss': 8.1209, 'grad_norm': 105.37350463867188, 'learning_rate': 4.8790322580645164e-05, 'epoch': 0.05}
{'loss': 6.3637, 'grad_norm': 73.55339813232422, 'learning_rate': 4.8387096774193554e-05, 'epoch': 0.06}
{'loss': 5.7618, 'grad_norm': 61.32112503051758, 'learning_rate': 4.7983870967741937e-05, 'epoch': 0.08}
{'loss': 4.0594, 'grad_norm': 42.86658477783203, 'learning_rate': 4.7580645161290326e-05, 'epoch': 0.1}
{'loss': 4.1332, 'grad_norm': 36.859310150146484, 'learning_rate': 4.7177419354838716e-05, 'epoch': 0.11}
{'loss': 3.9172, 'grad_norm': 38.350337982177734, 'learning_rate': 4.67741935483871e-05, 'epoch': 0.13}
{'loss': 3.4588, 'grad_norm': 40.8940315246582, 'learning_rate': 4.637096774193548e-05, 'epoch': 0.14}
{'loss': 3.2227, 'grad_norm': 41.62896728515625, 'learning_rate': 4.596774193548387e-05, 'epoch': 0.16}
{'loss': 2.9173, 'grad_norm': 44.55539321899414, 'learning_rate': 4.556451612903226e-05, 'epoch': 0.18}
{'loss': 1.5863, 'grad_norm': 34.348934173583984, 'learning_rate': 4.516129032258064e-05, 'epoch': 0.19}
{'loss': 1.3552, 'grad_norm': 32.76102828979492, 'learning_rate': 4.475806451612903e-05, 'epoch': 0.21}
{'loss': 1.0978, 'grad_norm': 28.61123275756836, 'learning_rate': 4.435483870967742e-05, 'epoch': 0.22}
{'loss': 0.9005, 'grad_norm': 25.56866455078125, 'learning_rate': 4.395161290322581e-05, 'epoch': 0.24}
{'loss': 0.6891, 'grad_norm': 21.618167877197266, 'learning_rate': 4.3548387096774194e-05, 'epoch': 0.26}
{'loss': 0.4822, 'grad_norm': 14.725522994995117, 'learning_rate': 4.3145161290322584e-05, 'epoch': 0.27}
{'loss': 0.3643, 'grad_norm': 12.127720832824707, 'learning_rate': 4.2741935483870973e-05, 'epoch': 0.29}
{'loss': 0.3216, 'grad_norm': 10.39234733581543, 'learning_rate': 4.2338709677419356e-05, 'epoch': 0.3}
{'loss': 0.2508, 'grad_norm': 7.215507507324219, 'learning_rate': 4.1935483870967746e-05, 'epoch': 0.32}
{'loss': 0.2045, 'grad_norm': 5.790035247802734, 'learning_rate': 4.1532258064516135e-05, 'epoch': 0.34}
{'loss': 0.1261, 'grad_norm': 3.9366793632507324, 'learning_rate': 4.112903225806452e-05, 'epoch': 0.35}
{'loss': 0.1123, 'grad_norm': 2.724440574645996, 'learning_rate': 4.072580645161291e-05, 'epoch': 0.37}
{'loss': 0.073, 'grad_norm': 1.3929946422576904, 'learning_rate': 4.032258064516129e-05, 'epoch': 0.38}
{'loss': 0.0588, 'grad_norm': 0.9372753500938416, 'learning_rate': 3.991935483870968e-05, 'epoch': 0.4}
{'loss': 0.0412, 'grad_norm': 0.7331125140190125, 'learning_rate': 3.951612903225806e-05, 'epoch': 0.42}
{'loss': 0.0629, 'grad_norm': 0.5984963774681091, 'learning_rate': 3.911290322580645e-05, 'epoch': 0.43}
{'loss': 0.0294, 'grad_norm': 0.3718727231025696, 'learning_rate': 3.870967741935484e-05, 'epoch': 0.45}
{'loss': 0.0305, 'grad_norm': 0.5282379388809204, 'learning_rate': 3.8306451612903224e-05, 'epoch': 0.46}
{'loss': 0.0216, 'grad_norm': 0.38094624876976013, 'learning_rate': 3.7903225806451614e-05, 'epoch': 0.48}
{'loss': 0.0259, 'grad_norm': 0.3779914975166321, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.5}
{'loss': 0.0306, 'grad_norm': 0.5205938220024109, 'learning_rate': 3.7096774193548386e-05, 'epoch': 0.51}
{'loss': 0.0112, 'grad_norm': 0.17699645459651947, 'learning_rate': 3.6693548387096776e-05, 'epoch': 0.53}
